#ID,Year,Month,TimeStamp,Label
1,1998,01,1998-01,Jan1998
2,1998,02,1998-02,Feb1998
3,1998,03,1998-03,Mar1998
4,1998,04,1998-04,Apr1998
5,1998,05,1998-05,May1998
6,1998,06,1998-06,Jun1998
7,1998,07,1998-07,Jul1998
8,1998,08,1998-08,Aug1998
9,1998,09,1998-09,Sep1998
10,1998,10,1998-10,Oct1998
11,1998,11,1998-11,Nov1998
12,1998,12,1998-12,Dec1998
13,1999,01,1999-01,Jan1999
14,1999,02,1999-02,Feb1999
15,1999,03,1999-03,Mar1999
16,1999,04,1999-04,Apr1999
17,1999,05,1999-05,May1999
18,1999,06,1999-06,Jun1999
19,1999,07,1999-07,Jul1999
20,1999,08,1999-08,Aug1999
21,1999,09,1999-09,Sep1999
22,1999,10,1999-10,Oct1999
23,1999,11,1999-11,Nov1999
24,1999,12,1999-12,Dec1999
25,2000,01,2000-01,Jan2000
26,2000,02,2000-02,Feb2000
27,2000,03,2000-03,Mar2000
28,2000,04,2000-04,Apr2000
29,2000,05,2000-05,May2000
30,2000,06,2000-06,Jun2000
31,2000,07,2000-07,Jul2000
32,2000,08,2000-08,Aug2000
33,2000,09,2000-09,Sep2000
34,2000,10,2000-10,Oct2000
35,2000,11,2000-11,Nov2000
36,2000,12,2000-12,Dec2000
37,2001,01,2001-01,Jan2001
38,2001,02,2001-02,Feb2001
39,2001,03,2001-03,Mar2001
40,2001,04,2001-04,Apr2001
41,2001,05,2001-05,May2001
42,2001,06,2001-06,Jun2001
43,2001,07,2001-07,Jul2001
44,2001,08,2001-08,Aug2001
45,2001,09,2001-09,Sep2001
46,2001,10,2001-10,Oct2001
47,2001,11,2001-11,Nov2001
48,2001,12,2001-12,Dec2001
49,2002,01,2002-01,Jan2002
50,2002,02,2002-02,Feb2002
51,2002,03,2002-03,Mar2002
52,2002,04,2002-04,Apr2002
53,2002,05,2002-05,May2002
54,2002,06,2002-06,Jun2002
55,2002,07,2002-07,Jul2002
56,2002,08,2002-08,Aug2002
57,2002,09,2002-09,Sep2002
58,2002,10,2002-10,Oct2002
59,2002,11,2002-11,Nov2002
60,2002,12,2002-12,Dec2002
61,2003,01,2003-01,Jan2003
62,2003,02,2003-02,Feb2003
63,2003,03,2003-03,Mar2003
64,2003,04,2003-04,Apr2003
65,2003,05,2003-05,May2003
66,2003,06,2003-06,Jun2003
67,2003,07,2003-07,Jul2003
68,2003,08,2003-08,Aug2003
69,2003,09,2003-09,Sep2003
70,2003,10,2003-10,Oct2003
71,2003,11,2003-11,Nov2003
72,2003,12,2003-12,Dec2003
73,2004,01,2004-01,Jan2004
74,2004,02,2004-02,Feb2004
75,2004,03,2004-03,Mar2004
76,2004,04,2004-04,Apr2004
77,2004,05,2004-05,May2004
78,2004,06,2004-06,Jun2004
79,2004,07,2004-07,Jul2004
80,2004,08,2004-08,Aug2004
81,2004,09,2004-09,Sep2004
82,2004,10,2004-10,Oct2004
83,2004,11,2004-11,Nov2004
84,2004,12,2004-12,Dec2004
85,2005,01,2005-01,Jan2005
86,2005,02,2005-02,Feb2005
87,2005,03,2005-03,Mar2005
88,2005,04,2005-04,Apr2005
89,2005,05,2005-05,May2005
90,2005,06,2005-06,Jun2005
91,2005,07,2005-07,Jul2005
92,2005,08,2005-08,Aug2005
93,2005,09,2005-09,Sep2005
94,2005,10,2005-10,Oct2005
95,2005,11,2005-11,Nov2005
96,2005,12,2005-12,Dec2005
97,2006,01,2006-01,Jan2006
98,2006,02,2006-02,Feb2006
99,2006,03,2006-03,Mar2006
100,2006,04,2006-04,Apr2006
101,2006,05,2006-05,May2006
102,2006,06,2006-06,Jun2006
103,2006,07,2006-07,Jul2006
104,2006,08,2006-08,Aug2006
105,2006,09,2006-09,Sep2006
106,2006,10,2006-10,Oct2006
107,2006,11,2006-11,Nov2006
108,2006,12,2006-12,Dec2006
109,2007,01,2007-01,Jan2007
